2026-06-05 23:07:14,099 | INFO     | sign_lang_api | Starting Sign Language API...
2026-06-05 23:07:14,208 | ERROR    | backend.database | Database connection failed: (pymysql.err.OperationalError) (2003, "Can't connect to MySQL server on '123@localhost' ([Errno 11003] getaddrinfo failed)")
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-06-05 23:07:14,208 | WARNING  | sign_lang_api | DB unavailable — prediction logging disabled
2026-06-05 23:29:10,632 | INFO     | sign_lang_api | Starting Sign Language API...
2026-06-05 23:29:10,663 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:29:10,681 | INFO     | backend.database | Database tables created/verified.
2026-06-05 23:29:10,713 | WARNING  | backend.predictor | Model not found: model/saved/best_model.h5
2026-06-05 23:29:10,713 | WARNING  | backend.predictor | Running in demo mode.
2026-06-05 23:29:10,713 | INFO     | backend.predictor | Demo mode active. 11 classes.
2026-06-05 23:29:10,718 | INFO     | sign_lang_api | Predictor ready | Classes: 11 | Model loaded: False
2026-06-05 23:31:07,283 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:49:31,347 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:49:31,352 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:49:31,536 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:49:31,540 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:50:01,822 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:50:01,827 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:50:32,124 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:50:32,127 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:51:01,816 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:51:01,818 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:51:31,653 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:51:32,123 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:52:01,809 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:52:01,817 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:52:31,650 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:52:32,118 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:53:01,824 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:54:03,128 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:54:42,462 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:54:42,469 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:55:04,122 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:55:12,803 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:55:43,118 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:56:05,138 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:56:12,816 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:56:43,119 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:57:06,118 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:57:12,168 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:57:42,466 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:58:07,114 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:58:12,153 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:58:43,124 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:59:08,123 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:59:12,817 | INFO     | backend.database | Database connected: sign_language_db
2026-06-05 23:59:43,124 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:00:09,123 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:00:12,803 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:00:43,127 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:01:10,122 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:01:12,835 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:01:43,121 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:02:11,116 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:02:12,151 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:02:42,461 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:03:12,127 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:03:12,838 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:03:43,116 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:04:12,808 | INFO     | backend.database | Database connected: sign_language_db
2026-06-06 00:04:13,131 | INFO     | backend.database | Database connected: sign_language_db
